"","rho","correlation","pval","samples","num_nodes","pearson_r"
"47",0.394625698914751,0.390552516378693,0.006,7700,200,0.28
"48",0.394625698914751,0.396269726639494,0.238,7700,200,0.28
"49",0.394625698914751,0.402623447824169,0.118,7700,200,0.28
"50",0.394625698914751,0.396034272606263,0.013,7700,200,0.28
"51",0.394625698914751,0.395055070633248,0.757,7700,200,0.28
"52",0.394625698914751,0.397217792518116,0.006,7700,200,0.28
"53",0.394625698914751,0.395523297689191,0.368,7700,200,0.28
"54",0.394625698914751,0.39183772216191,0.013,7700,200,0.28
"55",0.394625698914751,0.396546212530048,0.056,7700,200,0.28
"56",0.394625698914751,0.398277775739074,0.168,7700,200,0.28
"57",0.394625698914751,0.394726438823614,0.271,7700,200,0.28
"58",0.394625698914751,0.401692824676639,0.208,7700,200,0.28
"59",0.394625698914751,0.393149180890549,0.013,7700,200,0.28
"60",0.394625698914751,0.395227825747407,0.362,7700,200,0.28
"61",0.394625698914751,0.391874518800933,0.361,7700,200,0.28
"62",0.394625698914751,0.398136573113386,0.881,7700,200,0.28
"63",0.394625698914751,0.396226195810461,0.35,7700,200,0.28
"64",0.394625698914751,0.393130959768279,0.44,7700,200,0.28
"65",0.394625698914751,0.394577482289487,0.26,7700,200,0.28
"66",0.394625698914751,0.395680927186899,0.004,7700,200,0.28
"67",0.394625698914751,0.398384269192937,0.082,7700,200,0.28
"68",0.394625698914751,0.396938516816774,0.025,7700,200,0.28
"69",0.394625698914751,0.393045604828962,0.004,7700,200,0.28
"70",0.394625698914751,0.395645326049478,0.298,7700,200,0.28
"71",0.394625698914751,0.393854217142537,0.937,7700,200,0.28
"72",0.394625698914751,0.405399871344028,0,7700,200,0.28
"73",0.394625698914751,0.3919274311479,0.006,7700,200,0.28
"74",0.394625698914751,0.396469885426665,0.183,7700,200,0.28
"75",0.394625698914751,0.397815918399439,0.044,7700,200,0.28
"76",0.394625698914751,0.391553047026921,0.012,7700,200,0.28
"77",0.394625698914751,0.393432785642054,0.283,7700,200,0.28
"78",0.394625698914751,0.397404076702709,0.031,7700,200,0.28
"79",0.394625698914751,0.391519159677082,0.098,7700,200,0.28
"80",0.394625698914751,0.398202675694166,0.038,7700,200,0.28
"81",0.394625698914751,0.399966102408313,0.053,7700,200,0.28
"82",0.394625698914751,0.390325473903786,0.409,7700,200,0.28
"83",0.394625698914751,0.399103875622328,0.77,7700,200,0.28
"84",0.394625698914751,0.39371567900116,0.006,7700,200,0.28
"85",0.394625698914751,0.397089711657294,0.55,7700,200,0.28
